year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,24,Manhattan,145.984478686312,5191792.0,Evening Peak,Post Policy,2025-06-09
2025,24,Queens,38.93968748478801,799938.0,Evening Peak,Post Policy,2025-06-09
2025,25,Bronx,18.438179533409823,337474.0,Evening Peak,Post Policy,2025-06-16
2025,25,Brooklyn,31.788417006298626,1372751.0,Evening Peak,Post Policy,2025-06-16
2025,25,Manhattan,136.86271468456528,4853015.0,Evening Peak,Post Policy,2025-06-16
2025,25,Queens,38.42416181489661,765563.0,Evening Peak,Post Policy,2025-06-16
2025,26,Bronx,18.09323583180987,326601.0,Evening Peak,Post Policy,2025-06-23
2025,26,Brooklyn,31.02478060046189,1343373.0,Evening Peak,Post Policy,2025-06-23
2025,26,Manhattan,141.70519513502836,5021607.0,Evening Peak,Post Policy,2025-06-23
2025,26,Queens,36.769352822386765,764729.0,Evening Peak,Post Policy,2025-06-23
2025,27,Bronx,16.394493793752574,278690.0,Evening Peak,Post Policy,2025-06-30
2025,27,Brooklyn,28.358807523955992,1198585.0,Evening Peak,Post Policy,2025-06-30
2025,27,Manhattan,120.319182656931,4251358.0,Evening Peak,Post Policy,2025-06-30
2025,27,Queens,36.581122248427675,744499.0,Evening Peak,Post Policy,2025-06-30
2025,28,Bronx,18.344030736199784,324671.0,Evening Peak,Post Policy,2025-07-07
2025,28,Brooklyn,31.013741499799995,1318053.0,Evening Peak,Post Policy,2025-07-07
2025,28,Manhattan,140.31269081029603,5009584.0,Evening Peak,Post Policy,2025-07-07
2025,28,Queens,37.18092185147409,765518.0,Evening Peak,Post Policy,2025-07-07
2025,29,Bronx,17.046978348125954,301544.0,Evening Peak,Post Policy,2025-07-14
2025,29,Brooklyn,31.05330162283156,1331814.0,Evening Peak,Post Policy,2025-07-14
2025,29,Manhattan,143.05136309758987,5068882.0,Evening Peak,Post Policy,2025-07-14
2025,29,Queens,39.15177680175684,784445.0,Evening Peak,Post Policy,2025-07-14
2025,30,Bronx,19.137599189599865,340056.0,Evening Peak,Post Policy,2025-07-21
